   112   857 0.2235167632725E+01 0.2328419735492E+00 0.2201515304930E+01 -.2132000870871E+00
   113   858 0.2219828324282E+01 0.2720091170344E+00 0.2218747759482E+01 -.1723343927016E+00
   114   859 0.2202313272629E+01 0.3089248457196E+00 0.2234124178006E+01 -.1291208834964E+00
   115   860 0.2184258250750E+01 0.3440305517828E+00 0.2249180997530E+01 -.8391165835527E-01
   116   861 0.2165651967313E+01 0.3771524956442E+00 0.2262626319717E+01 -.3646424613458E-01
   117   862 0.2146521073899E+01 0.4081001361040E+00 0.2274432680092E+01 0.1331411594127E-01
   118   863 0.2126055926520E+01 0.4373623891081E+00 0.2284907525494E+01 0.6433282077659E-01
   119   864 0.2105114934063E+01 0.4648579382335E+00 0.2292683024287E+01 0.1175861019340E+00
   120   865 0.2083805848767E+01 0.4904281148058E+00 0.2298457426834E+01 0.1714270093137E+00
   121   866 0.2061945324397E+01 0.5149305707879E+00 0.2301042966093E+01 0.2270322680389E+00
   122   867 0.2039651427321E+01 0.5376156906253E+00 0.2299377202206E+01 0.2827832377633E+00
   123   868 0.2016804989561E+01 0.5589745235738E+00 0.2294479026006E+01 0.3379081884914E+00
   124   869 0.1993479885467E+01 0.5786192000165E+00 0.2283709150320E+01 0.3931089406109E+00
   125   870 0.1969559189400E+01 0.5969730450063E+00 0.2266047098745E+01 0.4468872399451E+00
   126   871 0.1945034812279E+01 0.6140474056318E+00 0.2242601690942E+01 0.4989502127724E+00
   127   872 0.1919922467108E+01 0.6296143856530E+00 0.2211748957869E+01 0.5498701153451E+00
   128   873 0.1894233783528E+01 0.6437841210983E+00 0.2174661051930E+01 0.5983671756143E+00
   129   874 0.1868149156671E+01 0.6562453009953E+00 0.2130767732440E+01 0.6444518669651E+00
   130   875 0.1841609490525E+01 0.6670941954999E+00 0.2081988828389E+01 0.6878067528439E+00
   131   876 0.1814649240900E+01 0.6762415107560E+00 0.2030543309628E+01 0.7271469705556E+00
   132   877 0.1787391465400E+01 0.6837533681817E+00 0.1977138528387E+01 0.7608403974786E+00
   133   878 0.1759930178135E+01 0.6895835706939E+00 0.1924390376597E+01 0.7887759879994E+00
   134   879 0.1732490733213E+01 0.6931675303925E+00 0.1872435160451E+01 0.8075861311368E+00
   135   880 0.1704669931423E+01 0.6950673589869E+00 0.1822627131540E+01 0.8186578158010E+00
   136   881 0.1676804581384E+01 0.6948912503812E+00 0.1775051047950E+01 0.8223833972914E+00
   137   882 0.1649267265902E+01 0.6929505117291E+00 0.1730355194736E+01 0.8192717362934E+00
   138   883 0.1622381953978E+01 0.6887653774839E+00 0.1688092539197E+01 0.8111521737589E+00
   139   884 0.1595513099104E+01 0.6827723033345E+00 0.1648046688111E+01 0.7987269041836E+00
   140   885 0.1569464501177E+01 0.6750939565608E+00 0.1610862225881E+01 0.7840547107971E+00
   141   886 0.1544516889170E+01 0.6653195310081E+00 0.1577265848788E+01 0.7670076034871E+00
